"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
237,2,15036.98295,4890.45708,109.86466,1391.59555,143.32504,24.79294,14.60566
238,2,14966.86802,11995.86386,101.24961,2087.50294,158.46804,30.26346,10.23349
239,2,15035.67155,14903.40205,99.95474,4634.82049,157.0835,43.12618,6.44114
240,2,15028.74642,18849.85346,77.24976,2125.09452,179.87754,43.75623,8.69117
241,2,15121.85036,9561.07318,131.51019,10271.14943,158.3962,61.79017,6.93637
242,2,15131.85948,14308.16227,81.34713,896.37758,167.55087,34.08296,17.43109
243,2,15301.3864,16340.28821,154.12698,3509.23934,215.69233,46.6741,20.5326
244,2,15329.86318,5597.93996,102.34412,6755.29582,172.3574,50.04551,5.37237
245,2,15411.83747,1678.86402,84.91265,1188.13683,135.42725,29.79476,12.61357
246,2,15546.59231,16606.2127,155.06076,4659.21636,151.59123,41.32293,13.98355
247,2,15832.13512,3556.99896,97.82396,3563.55354,207.96187,42.66942,7.89042
248,2,15851.69525,3270.99487,154.23933,3961.7721,148.40609,43.09519,16.89184
249,2,15910.87622,4512.14281,136.95436,4193.32142,177.84291,45.72876,13.47525
250,2,15859.5842,14680.23804,47.1978,383.13217,187.75534,27.83567,13.0461
251,2,15943.32333,10721.81269,108.34409,3716.62649,170.92058,38.48523,8.30597
252,2,16116.9758,9112.95004,114.70908,7416.6068,212.93511,72.34847,8.55482
253,2,16255.18488,16043.66885,102.15524,1899.90585,183.03422,34.63865,12.9166
254,2,16358.35712,7923.52093,114.42442,6511.11282,218.73285,60.90989,8.20717
255,2,16359.93476,10649.17113,110.35712,3704.69101,179.43217,37.13447,8.33989
256,2,16489.41516,3133.73026,102.45409,3289.01334,136.98442,38.93472,8.52176
257,2,16624.11637,15099.57244,70.03591,2704.65982,270.65378,46.7675,6.17409
258,2,16651.99606,9543.47627,73.54422,625.66275,223.94097,44.79315,26.96032
259,2,16825.74309,4490.14581,115.45894,3970.15977,193.25562,44.52456,10.04252
260,2,16915.96143,5174.94892,155.78459,4345.53082,170.63227,53.5931,19.42008
261,2,16847.83761,13210.50169,115.59179,3159.61749,139.51819,38.64585,10.99416
262,2,16979.85483,14257.90044,191.36692,9021.64359,132.74586,40.68049,10.8261
263,2,17078.34346,8207.78742,137.67941,5267.67799,148.97607,33.77514,8.21943
264,2,17108.00593,16190.97872,94.48579,1862.97581,211.69405,38.12533,12.48275
265,2,17086.5084,5157.80262,197.50067,7912.91852,138.04923,39.39406,12.67437
266,2,17188.02824,5682.99407,91.65426,1811.26944,179.0956,32.63497,10.49233
267,2,17244.1343,18200.61952,104.76609,1036.70128,201.77861,41.45579,29.16675
268,2,17239.49943,2861.9532,111.598,2102.17064,125.77694,29.85168,12.0008
269,2,17297.22503,15145.67303,197.27559,14342.02736,153.29403,61.98063,10.90047
270,2,17419.86371,8879.50284,185.46925,2836.48463,252.40348,41.27996,32.18516
271,2,17341.63071,13431.01357,97.08138,1001.7075,199.44496,41.10244,25.93382
272,2,17280.67813,18316.45035,134.89979,3248.86034,158.65849,35.53955,13.21547
273,2,17432.99593,4553.8364,194.97017,7966.4832,141.9619,40.27779,12.54428
274,2,17651.94549,19811.6795,64.41658,684.19409,134.5826,30.84201,13.65936
275,2,17801.60899,6033.61565,213.61795,12261.38975,155.20254,54.31051,13.06157
276,2,17764.38982,6682.24839,142.61312,4438.70366,170.49242,37.18841,11.31582
277,2,17743.26691,13772.87396,103.64398,2817.83461,216.46415,49.39725,12.65783
278,2,17816.33218,17177.86497,175.20168,5956.0721,179.14721,54.86382,18.27236
279,2,17827.43644,8680.66598,143.92566,6344.38301,199.54852,55.59385,11.90895
280,2,17854.83797,11460.11689,204.08613,9349.04042,96.80204,36.74079,10.7501
281,2,17831.45272,14968.46941,203.71878,15415.28484,207.54988,61.12283,10.66395
282,2,17843.55411,15791.19547,158.01645,14722.35493,274.82676,77.6417,8.60091
283,2,18060.69524,5978.24799,304.92654,41670.07745,0.00002,62.42803,8.99358
284,2,18166.84623,7269.97438,102.54059,2621.32176,193.31126,43.05685,11.6819
285,2,18241.51935,16683.11159,86.78768,2946.45689,353.75474,57.27578,10.05857
286,2,18355.38558,17761.63144,167.16507,5783.23918,170.73485,40.46392,12.81625
287,2,18378.4673,15098.83668,130.46764,3179.42727,290.26166,65.58736,22.89999
288,2,18401.64977,17079.51113,172.65014,6054.39801,246.51023,55.45159,17.65751
289,2,18405.34485,4192.68743,93.83291,876.83518,123.74148,24.28953,16.75696
290,2,18404.87905,8720.9273,104.10384,2942.05818,196.23815,35.26995,8.91633
291,2,18451.72149,14120.29876,194.70611,15431.18985,180.32148,66.47082,10.57937
292,2,18407.34367,15007.6789,154.50703,7785.27778,219.23985,60.70387,12.14649
293,2,18473.66475,16154.65921,105.07445,5043.92882,297.6077,61.71981,9.09173
294,2,18470.67236,14314.13399,141.83595,10004.05886,236.39591,72.14078,9.51796
295,2,18610.75336,3048.63039,89.23169,734.83582,124.82522,17.72916,13.58123
296,2,18608.7306,9434.6502,153.64006,3392.05768,192.51403,38.75609,17.62926
