"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
194,2,9733.74618,18542.04975,115.56946,4549.69951,143.555,38.26221,7.66383
195,2,9765.29311,19125.30242,16.93633,215.10999,139.31559,24.60424,6.39774
196,2,9864.55607,9742.24169,117.86587,1465.74032,109.77179,24.8571,15.86469
197,2,10148.42741,2548.2758,184.69271,4522.71253,107.18501,31.35497,15.47674
198,2,10267.40676,18557.45607,197.07532,3257.88847,106.79192,26.22391,20.36962
199,2,10497.79172,2021.65897,73.13182,1431.55573,146.75422,31.72177,8.58089
200,2,10536.42192,6884.91216,68.12888,2066.34505,166.05063,34.33939,5.76596
201,2,10499.43714,16681.32706,153.27695,1996.24581,94.8723,16.88105,13.50434
202,2,10562.79216,14976.49783,97.37373,2814.60412,121.92477,33.44417,7.84915
203,2,10706.2485,19567.08712,103.11544,2102.14796,116.14834,24.72881,8.75695
204,2,10749.52236,4568.51289,88.79345,3695.37592,149.67825,36.92932,5.6227
205,2,10826.60354,6096.67032,87.20727,2360.11997,138.31386,28.12988,6.53681
206,2,10909.19673,11662.54592,91.2837,4673.06622,141.98954,37.47284,4.7988
207,2,11245.02709,15425.54102,87.26169,1292.41599,117.93394,23.10236,9.69052
208,2,11295.12296,17363.86585,97.92678,1151.98613,110.2674,19.52654,11.41918
209,2,11370.33874,2004.90734,104.63974,2505.70194,119.56031,27.98126,8.502
210,2,11462.28817,7849.26096,96.52008,3955.00682,146.80804,32.55926,5.47641
211,2,11525.45677,9053.8104,89.74982,1381.04296,130.15549,23.29991,9.63878
212,2,11828.96139,2586.92597,88.4913,1353.00583,125.17631,20.33092,8.5077
213,2,11866.96792,11754.07562,94.71671,1624.25448,126.558,29.76273,11.35807
214,2,12248.21246,7554.62011,82.32303,2616.77208,159.91291,34.67586,6.44598
215,2,12559.03811,3233.778,107.12424,1535.78735,121.68069,22.86469,11.77757
216,2,12544.09028,6998.29685,86.62176,4218.27664,147.60004,26.27251,3.60238
217,2,12701.31296,12640.90492,90.72725,1975.54661,137.1792,28.25403,8.31701
218,2,12922.84029,10380.26027,99.72334,1603.97496,122.87364,24.47393,10.55394
219,2,13059.95365,8898.77598,119.31044,938.7809,124.3409,22.9867,23.24211
220,2,13107.0199,2194.53656,92.65297,1925.04675,122.28306,29.4388,9.18347
221,2,13088.83179,3306.25335,93.14816,1408.56603,123.19329,26.49903,11.35468
222,2,13120.59864,11880.2423,494.14534,38392.56328,17.67611,25.75602,10.79759
223,2,13169.00307,14569.86062,82.83386,1056.3769,124.18159,25.64451,11.76301
224,2,13267.95501,11596.10204,96.15276,3835.2376,137.71387,29.36077,5.12484
225,2,13294.39877,18822.11771,130.54023,1794.54159,110.36116,24.92795,15.83058
226,2,13397.6026,17724.13192,104.46775,2787.52432,107.85832,30.02281,8.16116
227,2,13555.25572,7237.49731,95.60328,1742.3827,128.15416,33.70419,12.12011
228,2,13656.10423,9580.89057,109.30479,782.01127,134.76314,23.71529,24.28299
229,2,13699.57663,18906.26807,100.5386,666.59108,123.80215,21.6229,22.248
230,2,13945.97551,9459.48975,99.12284,1329.32404,146.03504,23.7774,12.16404
